"Story","Title","Result","Date","Stability","Duration (s)"
"Contactenos Universidad EAFIT","Envio comentario Universidad EAFIT","SUCCESS","2018-12-06T16:11:39.633-05:00[America/Bogota]","0.0","322.38"
"Acceder al Aplicativo Metis","Realizar la Autenticación en Metis.","SUCCESS","2018-12-05T16:03:04.435-05:00[America/Bogota]","0.0","11.89"
